"kubernetes.deployment.name: Descending","@timestamp per 30 seconds","Bytes received"
"payment-service",1621195980000,undefined
"payment-service",1621196010000,15230
"payment-service",1621196040000,12738
"payment-service",1621196070000,11544
"payment-service",1621196100000,11912
"payment-service",1621196130000,12238
"payment-service",1621196160000,11912
"payment-service",1621196190000,10896
"payment-service",1621196220000,11846
"payment-service",1621196250000,21884
"payment-service",1621196280000,48356
"payment-service",1621196310000,52756
"payment-service",1621196340000,52414
"payment-service",1621196370000,55818
"payment-service",1621196400000,39330
"payment-service",1621196430000,57709
"payment-service",1621196460000,26133
"payment-service",1621196490000,67623
"payment-service",1621196520000,43485
"payment-service",1621196550000,52110
"payment-service",1621196580000,22927
"payment-service",1621196610000,0
"payment-service",1621196640000,25249
"payment-service",1621196670000,12973
"payment-service",1621196700000,14953
"payment-service",1621196730000,15057
"payment-service",1621196760000,13798
"payment-service",1621196790000,16130
"payment-service",1621196820000,9471
"payment-service",1621196850000,19484
"payment-service",1621196880000,11872
"payment-service",1621196910000,13110
"payment-service",1621196940000,16860
"payment-service",1621196970000,13420
"payment-service",1621197000000,18086
"payment-service",1621197030000,14668
"payment-service",1621197060000,14789
"payment-service",1621197090000,14642
"payment-service",1621197120000,7037
"payment-service",1621197150000,13295
"payment-service",1621197180000,11163
"payment-service",1621197210000,14497
"payment-service",1621197240000,10581
"payment-service",1621197270000,10155
"payment-service",1621197300000,11563
"payment-service",1621197330000,10740
"payment-service",1621197360000,7600
"payment-service",1621197390000,13221
"payment-service",1621197420000,11179
"payment-service",1621197450000,13600
"payment-service",1621197480000,9184
"payment-service",1621197510000,12208
frontend,1621195980000,undefined
frontend,1621196010000,7399
frontend,1621196040000,15963
frontend,1621196070000,13023
frontend,1621196100000,16955
frontend,1621196130000,10906
frontend,1621196160000,12456
frontend,1621196190000,10381
frontend,1621196220000,13089
frontend,1621196250000,39732
frontend,1621196280000,141945
frontend,1621196310000,108513
frontend,1621196340000,104154
frontend,1621196370000,132125
frontend,1621196400000,58785
frontend,1621196430000,114592
frontend,1621196460000,120160
frontend,1621196490000,146834
frontend,1621196520000,121393
frontend,1621196550000,69193
frontend,1621196580000,80531
frontend,1621196610000,46587
frontend,1621196640000,60581
frontend,1621196670000,20405
frontend,1621196700000,45269
frontend,1621196730000,55561
frontend,1621196760000,29676
frontend,1621196790000,46167
frontend,1621196820000,39319
frontend,1621196850000,40215
frontend,1621196880000,46739
frontend,1621196910000,39973
frontend,1621196940000,33895
frontend,1621196970000,63069
frontend,1621197000000,31318
frontend,1621197030000,39784
frontend,1621197060000,45115
frontend,1621197090000,45217
frontend,1621197120000,13680
frontend,1621197150000,11998
frontend,1621197180000,9781
frontend,1621197210000,22966
frontend,1621197240000,5189
frontend,1621197270000,20852
frontend,1621197300000,13182
frontend,1621197330000,14409
frontend,1621197360000,14604
frontend,1621197390000,10807
frontend,1621197420000,20456
frontend,1621197450000,9649
frontend,1621197480000,16353
frontend,1621197510000,14145
