"Top values of prometheus.labels.route","@timestamp per 30 seconds","99th percentile (seconds)"
"/frontend/checkout-payment","19:07:00",0
"/frontend/checkout-payment","19:07:30",0
"/frontend/checkout-payment","19:08:00",0
"/frontend/checkout-payment","19:08:30",0
"/frontend/checkout-payment","19:09:00",0
"/frontend/checkout-payment","19:09:30",0
"/frontend/checkout-payment","19:10:00",0
"/frontend/checkout-payment","19:10:30",0
"/frontend/checkout-payment","19:11:00",0
"/frontend/checkout-payment","19:11:30","0.755"
"/frontend/checkout-payment","19:12:00","0.755"
"/frontend/checkout-payment","19:12:30","0.688"
"/frontend/checkout-payment","19:13:00","0.688"
"/frontend/checkout-payment","19:13:30","0.688"
"/frontend/checkout-payment","19:14:00","0.688"
"/frontend/checkout-payment","19:14:30","0.721"
"/frontend/checkout-payment","19:15:00","0.721"
"/frontend/checkout-payment","19:15:30","0.688"
"/frontend/checkout-payment","19:16:00","0.688"
"/frontend/checkout-payment","19:16:30","0.688"
"/frontend/checkout-payment","19:17:00","0.688"
"/frontend/checkout-payment","19:17:30","0.688"
"/frontend/checkout-payment","19:18:00","0.688"
"/frontend/checkout-payment","19:18:30","2.953"
"/frontend/checkout-payment","19:19:00","2.953"
"/frontend/checkout-payment","19:19:30","0.721"
"/frontend/checkout-payment","19:20:00","0.721"
"/frontend/checkout-payment","19:20:30","0.721"
"/frontend/checkout-payment","19:21:00","0.688"
"/frontend/checkout-payment","19:21:30","0.755"
"/payments","19:07:00",0
"/payments","19:07:30",0
"/payments","19:08:00",0
"/payments","19:08:30",0
"/payments","19:09:00",0
"/payments","19:09:30",0
"/payments","19:10:00",0
"/payments","19:10:30",0
"/payments","19:11:00",0
"/payments","19:11:30","0.264"
"/payments","19:12:00","0.317"
"/payments","19:12:30","0.317"
"/payments","19:13:00","0.317"
"/payments","19:13:30","0.3"
"/payments","19:14:00","0.315"
"/payments","19:14:30","0.333"
"/payments","19:15:00","0.333"
"/payments","19:15:30","0.331"
"/payments","19:16:00","0.348"
"/payments","19:16:30","0.331"
"/payments","19:17:00","0.317"
"/payments","19:17:30","0.318"
"/payments","19:18:00","0.318"
"/payments","19:18:30","0.333"
"/payments","19:19:00","0.333"
"/payments","19:19:30","0.334"
"/payments","19:20:00","0.334"
"/payments","19:20:30","0.334"
"/payments","19:21:00","0.35"
"/payments","19:21:30","0.298"
"/healthz","19:07:00",0
"/healthz","19:07:30",0
"/healthz","19:08:00",0
"/healthz","19:08:30",0
"/healthz","19:09:00",0
"/healthz","19:09:30",0
"/healthz","19:10:00",0
"/healthz","19:10:30",0
"/healthz","19:11:00",0
"/healthz","19:11:30",0
"/healthz","19:12:00",0
"/healthz","19:12:30",0
"/healthz","19:13:00",0
"/healthz","19:13:30",0
"/healthz","19:14:00",0
"/healthz","19:14:30",0
"/healthz","19:15:00",0
"/healthz","19:15:30",0
"/healthz","19:16:00",0
"/healthz","19:16:30",0
"/healthz","19:17:00",0
"/healthz","19:17:30",0
"/healthz","19:18:00","0.001"
"/healthz","19:18:30","0.071"
"/healthz","19:19:00","0.071"
"/healthz","19:19:30","0.001"
"/healthz","19:20:00","0.003"
"/healthz","19:20:30","0.003"
"/healthz","19:21:00",0
"/healthz","19:21:30",0
Other,"19:07:00","0.002"
Other,"19:07:30","0.001"
Other,"19:08:00","0.001"
Other,"19:08:30","0.002"
Other,"19:09:00","0.007"
Other,"19:09:30","0.007"
Other,"19:10:00","0.007"
Other,"19:10:30","0.005"
Other,"19:11:00","0.005"
Other,"19:11:30","0.001"
Other,"19:12:00","0.002"
Other,"19:12:30","0.002"
Other,"19:13:00","0.002"
Other,"19:13:30","0.002"
Other,"19:14:00","0.002"
Other,"19:14:30","0.001"
Other,"19:15:00","0.01"
Other,"19:15:30","0.01"
Other,"19:16:00","0.01"
Other,"19:16:30","0.002"
Other,"19:17:00","0.002"
Other,"19:17:30","0.003"
Other,"19:18:00","0.007"
Other,"19:18:30","0.05"
Other,"19:19:00","0.052"
Other,"19:19:30","0.052"
Other,"19:20:00","0.016"
Other,"19:20:30","0.016"
Other,"19:21:00","0.007"
Other,"19:21:30","0.007"
