"Top values of prometheus.labels.status","@timestamp per 30 seconds","Maximum of prometheus.metrics.ktor_http_server_requests_seconds_count","requests per status code","requests per status code"
200,"19:07:00","372,915",,
200,"19:07:30","372,928","0.433/s","0.433/s"
200,"19:08:00","372,942","0.467/s","0.467/s"
200,"19:08:30","372,955","0.433/s","0.433/s"
200,"19:09:00","372,969","0.467/s","0.467/s"
200,"19:09:30","372,982","0.433/s","0.433/s"
200,"19:10:00","372,996","0.467/s","0.467/s"
200,"19:10:30","373,009","0.433/s","0.433/s"
200,"19:11:00","373,023","0.467/s","0.467/s"
200,"19:11:30","373,036","0.433/s","0.433/s"
200,"19:12:00","373,050","0.467/s","0.467/s"
200,"19:12:30","373,063","0.433/s","0.433/s"
200,"19:13:00","373,077","0.467/s","0.467/s"
200,"19:13:30","373,090","0.433/s","0.433/s"
200,"19:14:00","373,104","0.467/s","0.467/s"
200,"19:14:30","373,117","0.433/s","0.433/s"
200,"19:15:00","373,131","0.467/s","0.467/s"
200,"19:15:30","373,144","0.433/s","0.433/s"
200,"19:16:00","373,158","0.467/s","0.467/s"
200,"19:16:30","373,171","0.433/s","0.433/s"
200,"19:17:00","373,185","0.467/s","0.467/s"
200,"19:17:30","373,198","0.433/s","0.433/s"
200,"19:18:00","373,212","0.467/s","0.467/s"
200,"19:18:30","373,225","0.433/s","0.433/s"
200,"19:19:00","373,239","0.467/s","0.467/s"
200,"19:19:30","373,252","0.433/s","0.433/s"
200,"19:20:00","373,266","0.467/s","0.467/s"
200,"19:20:30","373,279","0.433/s","0.433/s"
200,"19:21:00","373,293","0.467/s","0.467/s"
200,"19:21:30","373,306","0.433/s","0.433/s"
404,"19:07:00",1,,
404,"19:07:30",1,"0/s","0/s"
404,"19:08:00",1,"0/s","0/s"
404,"19:08:30",1,"0/s","0/s"
404,"19:09:00",1,"0/s","0/s"
404,"19:09:30",1,"0/s","0/s"
404,"19:10:00",1,"0/s","0/s"
404,"19:10:30",1,"0/s","0/s"
404,"19:11:00",1,"0/s","0/s"
404,"19:11:30",1,"0/s","0/s"
404,"19:12:00",1,"0/s","0/s"
404,"19:12:30",1,"0/s","0/s"
404,"19:13:00",1,"0/s","0/s"
404,"19:13:30",1,"0/s","0/s"
404,"19:14:00",1,"0/s","0/s"
404,"19:14:30",1,"0/s","0/s"
404,"19:15:00",1,"0/s","0/s"
404,"19:15:30",1,"0/s","0/s"
404,"19:16:00",1,"0/s","0/s"
404,"19:16:30",1,"0/s","0/s"
404,"19:17:00",1,"0/s","0/s"
404,"19:17:30",1,"0/s","0/s"
404,"19:18:00",1,"0/s","0/s"
404,"19:18:30",1,"0/s","0/s"
404,"19:19:00",1,"0/s","0/s"
404,"19:19:30",1,"0/s","0/s"
404,"19:20:00",1,"0/s","0/s"
404,"19:20:30",1,"0/s","0/s"
404,"19:21:00",1,"0/s","0/s"
404,"19:21:30",1,"0/s","0/s"
500,"19:07:00",452,,
500,"19:07:30",452,"0/s","0/s"
500,"19:08:00",452,"0/s","0/s"
500,"19:08:30",452,"0/s","0/s"
500,"19:09:00",452,"0/s","0/s"
500,"19:09:30",452,"0/s","0/s"
500,"19:10:00",452,"0/s","0/s"
500,"19:10:30",452,"0/s","0/s"
500,"19:11:00",452,"0/s","0/s"
500,"19:11:30",452,"0/s","0/s"
500,"19:12:00",452,"0/s","0/s"
500,"19:12:30",452,"0/s","0/s"
500,"19:13:00",452,"0/s","0/s"
500,"19:13:30",452,"0/s","0/s"
500,"19:14:00",452,"0/s","0/s"
500,"19:14:30",452,"0/s","0/s"
500,"19:15:00",452,"0/s","0/s"
500,"19:15:30",452,"0/s","0/s"
500,"19:16:00",452,"0/s","0/s"
500,"19:16:30",452,"0/s","0/s"
500,"19:17:00",452,"0/s","0/s"
500,"19:17:30",452,"0/s","0/s"
500,"19:18:00",452,"0/s","0/s"
500,"19:18:30",459,"0.233/s","0.233/s"
500,"19:19:00",459,"0/s","0/s"
500,"19:19:30",459,"0/s","0/s"
500,"19:20:00",459,"0/s","0/s"
500,"19:20:30",459,"0/s","0/s"
500,"19:21:00",459,"0/s","0/s"
500,"19:21:30",459,"0/s","0/s"
